Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
103,0,0,0,"Feb 27, 2018",8.63K,"Feb 27, 2018",229 MB,25K,1,"1,686",https://github.com/zxing/zxing,zxingcpp,http://formulae.brew.sh/formula/zxingcpp,https://github.com/zxing/zxing
14,1,0,0,"Feb 27, 2018",2.51K,"Feb 27, 2018",13.9 MB,21.6K,1,694,https://github.com/skylot/jadx,jadx,http://formulae.brew.sh/formula/jadx,https://github.com/skylot/jadx
430,,,0,"Jun 23, 2009",6.15K,20 days ago,111 MB,15.2K,0,913,https://jenkins.io/,jenkins,http://formulae.brew.sh/formula/jenkins,https://github.com/jenkinsci/jenkins
158,,,0,"Oct 10, 2011",1.62K,"Oct  3, 2019",101 MB,10.5K,0,612,http://vertx.io/,vertx,http://formulae.brew.sh/formula/vertx,https://github.com/eclipse/vert.x/
37,,,0,"Mar 13, 2010",2.33K,"Dec 26, 2017",144 MB,9.27K,0,587,https://github.com/iBotPeaches/Apktool,apktool,http://formulae.brew.sh/formula/apktool,https://github.com/iBotPeaches/Apktool
194,,,0,"Nov 20, 2012",1.79K,about 1 month ago,460 MB,7.54K,0,484,https://neo4j.com/,neo4j,http://formulae.brew.sh/formula/neo4j,https://github.com/neo4j/neo4j
6,0,0,0,"Feb 27, 2018",1.39K,"Feb 27, 2018",8.28 MB,7K,1,411,https://github.com/pxb1988/dex2jar,dex2jar,http://formulae.brew.sh/formula/dex2jar,https://github.com/pxb1988/dex2jar
380,2,0,0,"Feb 27, 2018",980,"Feb 27, 2018",153 MB,5.44K,1,256,https://github.com/google/closure-compiler,closurecompiler,http://formulae.brew.sh/formula/closurecompiler,https://github.com/google/closure-compiler
37,,,0,"Jun 14, 2012",1.01K,"Sep 19, 2015",87 MB,4.84K,0,431,https://thinkaurelius.github.io/titan/,titanserver,http://formulae.brew.sh/formula/titanserver,https://github.com/thinkaurelius/titan
86,1,0,0,"Feb 27, 2018",1.29K,"Feb 27, 2018",9.31 MB,4.77K,1,207,http://www.jsonschema2pojo.org/,jsonschema2pojo,http://formulae.brew.sh/formula/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo
503,,,0,"Dec 23, 2012",2.3K,"Feb  1, 2020",116 MB,4.51K,0,431,http://tachyon-project.org/,tachyon,http://formulae.brew.sh/formula/tachyon,https://github.com/amplab/tachyon
97,,,0,"Feb 18, 2011",1.15K,"Dec 17, 2019",479 MB,4.18K,0,277,http://www.sonarqube.org/,sonar,http://formulae.brew.sh/formula/sonar,https://github.com/SonarSource/sonarqube
139,1,0,0,"Feb 27, 2018",815,"Feb 27, 2018",226 MB,4.11K,1,303,https://orientdb.com/,orientdb,http://formulae.brew.sh/formula/orientdb,https://github.com/orientechnologies/orientdb
24,0,0,0,"Feb 27, 2018",800,"Feb 27, 2018",8.87 MB,4.07K,1,270,https://github.com/JesusFreke/smali,smali,http://formulae.brew.sh/formula/smali,https://github.com/JesusFreke/smali
91,1,0,0,"Feb 27, 2018",635,"Feb 27, 2018",1.15 GB,3.34K,1,145,https://www.languagetool.org/,languagetool,http://formulae.brew.sh/formula/languagetool,https://github.com/languagetool-org/languagetool
13,0,0,0,"Feb 27, 2018",536,"Feb 27, 2018",1.35 MB,3.1K,1,145,https://github.com/google/google-java-format,googlejavaformat,http://formulae.brew.sh/formula/googlejavaformat,https://github.com/google/google-java-format
9,,,0,"Jul 14, 2013",673,"Mar 28, 2017",5.58 MB,3.09K,0,215,https://deathmarine.github.io/Luyten/,luyten,http://formulae.brew.sh/formula/luyten,https://github.com/deathmarine/Luyten
