Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
441,4,0,0,"Sep 17, 2018",5.57K,"Sep 17, 2018",1.73 GB,17.2K,1,"1,322",https://github.com/SeleniumHQ/selenium,@jovanross/selenium-webdriver3,https://www.npmjs.com/package/@jovanross/selenium-webdriver3,https://github.com/SeleniumHQ/selenium
441,5,0,0,"Sep 17, 2018",5.57K,"Sep 17, 2018",1.73 GB,17.2K,1,"1,322",https://github.com/SeleniumHQ/selenium,@jovanross/selenium-webdriver2,https://www.npmjs.com/package/@jovanross/selenium-webdriver2,https://github.com/SeleniumHQ/selenium
441,0,1,0,"Oct  2, 2018",5.57K,"Oct  2, 2018",1.73 GB,17.2K,3,"1,322",https://github.com/SeleniumHQ/selenium,selenium-webdriver-sway-fork,https://www.npmjs.com/package/selenium-webdriver-sway-fork,https://github.com/SeleniumHQ/selenium
441,5,1,0,"Sep 16, 2015",5.57K,"Sep 16, 2015",1.73 GB,17.2K,2,"1,322",https://selenium.dev,k1ngdr3w-webdriver,https://www.npmjs.com/package/k1ngdr3w-webdriver,https://github.com/theandrewlane
441,4,0,0,"Jan 30, 2018",5.57K,"Jan 30, 2018",1.73 GB,17.2K,3,"1,322",https://github.com/SeleniumHQ/selenium,selenium-webdriver-3,https://www.npmjs.com/package/selenium-webdriver-3,https://github.com/SeleniumHQ/selenium
441,4,0,0,"Jun 13, 2017",5.57K,"Jun 13, 2017",1.73 GB,17.2K,1,"1,322",https://github.com/SeleniumHQ/selenium,selenium-webdriver-patched,https://www.npmjs.com/package/selenium-webdriver-patched,https://github.com/SeleniumHQ/selenium
441,3,1.41K,66.7K,"Feb 14, 2013",5.57K,about 2 months ago,1.73 GB,17.2K,55,"1,322",https://github.com/SeleniumHQ/selenium,selenium-webdriver,https://www.npmjs.com/package/selenium-webdriver,https://github.com/SeleniumHQ/selenium
430,0,0,0,"Jun  7, 2016",6.15K,"Jun  7, 2016",111 MB,15.2K,1,913,https://jenkins.io/,jenkins-js-utils,https://www.npmjs.com/package/jenkins-js-utils,https://github.com/jenkinsci/jenkins
72,4,0,0,"May 29, 2019",1.32K,"May 29, 2019",64.5 MB,12.5K,1,254,https://github.com/airbnb/lottie-react-native,@opengenius/lottie-react-native,https://www.npmjs.com/package/@opengenius/lottie-react-native,https://github.com/airbnb/lottie-react-native
72,4,55,6.32K,"Feb  1, 2017",1.32K,"Nov 15, 2019",64.5 MB,12.5K,39,254,https://github.com/airbnb/lottie-react-native,lottie-react-native,https://github.com/react-native-community/lottie-react-native,https://github.com/airbnb/lottie-react-native
72,4,0,0,"Oct  3, 2018",1.32K,"Oct  3, 2018",64.5 MB,12.5K,2,254,https://github.com/airbnb/lottie-react-native,@bam.tech/lottie-react-native,https://www.npmjs.com/package/@bam.tech/lottie-react-native,https://github.com/airbnb/lottie-react-native
72,4,0,0,"Mar 15, 2019",1.32K,"Mar 18, 2019",64.5 MB,12.5K,2,254,https://github.com/airbnb/lottie-react-native,@bondparkerbond/lottie-react-native,https://www.npmjs.com/package/@bondparkerbond/lottie-react-native,https://github.com/airbnb/lottie-react-native
316,5,0,0,"Jul 28, 2019",2.53K,"Jul 28, 2019",42.1 MB,11.4K,1,520,https://github.com/wix/react-native-navigation,@sushant23/react-native-navigation,https://www.npmjs.com/package/@sushant23/react-native-navigation,https://github.com/wix/react-native-navigation
316,4,0,0,"Oct 16, 2018",2.53K,"Oct 16, 2018",42.1 MB,11.4K,2,520,https://github.com/wix/react-native-navigation,react-native-navigation-coyotelogistics,https://www.npmjs.com/package/react-native-navigation-coyotelogistics,https://github.com/wix/react-native-navigation
316,5,0,0,"Nov 10, 2018",2.53K,"Nov 10, 2018",42.1 MB,11.4K,3,520,https://github.com/wix/react-native-navigation,blondie-react-native-navigation,https://www.npmjs.com/package/blondie-react-native-navigation,https://github.com/wix/react-native-navigation
316,5,0,0,"Feb 21, 2019",2.53K,"Mar  5, 2019",42.1 MB,11.4K,6,520,https://github.com/wix/react-native-navigation,jyrno42-react-native-navigation,https://www.npmjs.com/package/jyrno42-react-native-navigation,https://github.com/wix/react-native-navigation
316,5,0,0,"Jul 31, 2019",2.53K,"Dec 24, 2019",42.1 MB,11.4K,4,520,https://github.com/wix/react-native-navigation,fsc-react-native-navigation,https://www.npmjs.com/package/fsc-react-native-navigation,https://github.com/wix/react-native-navigation
316,5,0,0,"Jan  7, 2019",2.53K,"Aug  8, 2019",42.1 MB,11.4K,22,520,https://github.com/wix/react-native-navigation,@my01/react-native-navigation,https://www.npmjs.com/package/@my01/react-native-navigation,https://github.com/wix/react-native-navigation
316,5,0,0,"Nov 15, 2018",2.53K,"Nov 15, 2018",42.1 MB,11.4K,1,520,https://github.com/wix/react-native-navigation,react-native-navigation-isb,https://www.npmjs.com/package/react-native-navigation-isb,https://github.com/wix/react-native-navigation
316,5,0,0,"Aug 13, 2018",2.53K,"Mar  2, 2019",42.1 MB,11.4K,13,520,https://github.com/wix/react-native-navigation,react-native-navigation-rtl,https://www.npmjs.com/package/react-native-navigation-rtl,https://github.com/wix/react-native-navigation
316,1,0,0,"Nov 27, 2017",2.53K,"Mar  9, 2018",42.1 MB,11.4K,6,520,https://github.com/wix/react-native-navigation,react-native-odinvt-navigation,https://www.npmjs.com/package/react-native-odinvt-navigation,https://github.com/wix/react-native-navigation
