Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
837,0,0,0,"Oct 24, 2017",16K,"Oct 25, 2017",674 MB,47.1K,2,"2,782",https://github.com/elastic/elasticsearch/,IsraelHiking.Elasticsearch,https://github.com/elastic/elasticsearch,https://github.com/elastic/elasticsearch/
200,1,15,0,"Oct  3, 2018",7.95K,"May 23, 2019",32.9 MB,36.5K,6,"1,673",https://github.com/square/okhttp,Karamunting.Android.Square.OkHttp,https://www.nuget.org/packages/Karamunting.Android.Square.OkHttp/3.14.2,https://github.com/square/okhttp
200,1,3,0,"Oct 15, 2018",7.95K,"May 23, 2019",32.9 MB,36.5K,6,"1,673",https://github.com/square/okhttp,Karamunting.Square.OkHttp3.UrlConnection,https://www.nuget.org/packages/Karamunting.Square.OkHttp3.UrlConnection/3.14.2,https://github.com/square/okhttp
200,1,0,0,"May 25, 2019",7.95K,"May 25, 2019",32.9 MB,36.5K,3,"1,673",https://github.com/square/okhttp,Karamunting.Square.OkHttp3.LoggingInterceptor,https://www.nuget.org/packages/Karamunting.Square.OkHttp3.LoggingInterceptor/3.14.2,https://github.com/square/okhttp
58,1,0,0,"Jul  8, 2019",7.8K,"Jul  8, 2019",20.6 MB,30.2K,1,"1,125",https://github.com/PhilJay/MPAndroidChart,Karamunting.Android.PhilJay.MPAndroidChart,https://www.nuget.org/packages/Karamunting.Android.PhilJay.MPAndroidChart/3.1.0,https://github.com/PhilJay/MPAndroidChart
111,1,1,0,"Sep 11, 2019",5.18K,"Dec  4, 2019",61.9 MB,28.3K,2,"1,068",https://github.com/bumptech/glide,Karamunting.AndroidX.BumpTech.Glide.GifDecoder,https://www.nuget.org/packages/Karamunting.AndroidX.BumpTech.Glide.GifDecoder/4.10.0-preview01,https://github.com/bumptech/glide
111,0,1,0,"Sep 11, 2019",5.18K,"Dec  4, 2019",61.9 MB,28.3K,2,"1,068",https://github.com/bumptech/glide,Karamunting.AndroidX.BumpTech.Glide.DiskLruCache,https://www.nuget.org/packages/Karamunting.AndroidX.BumpTech.Glide.DiskLruCache/4.10.0-preview01,https://github.com/bumptech/glide
111,0,0,0,"Apr 24, 2019",5.18K,"Apr 24, 2019",61.9 MB,28.3K,1,"1,068",https://github.com/bumptech/glide,Glide.Droid,https://www.nuget.org/packages/Glide.Droid/1.0.0,https://github.com/bumptech/glide
111,4,0,0,"Aug  9, 2019",5.18K,"Jul 15, 2019",61.9 MB,28.3K,2,"1,068",https://github.com/bumptech/glide,Karamunting.Android.BumpTech.Glide.Integration.RecyclerView,https://www.nuget.org/packages/Karamunting.Android.BumpTech.Glide.Integration.RecyclerView/4.9.0,https://github.com/bumptech/glide
111,0,1,1,"Aug  9, 2019",5.18K,"Mar 19, 2019",61.9 MB,28.3K,3,"1,068",https://github.com/bumptech/glide,Karamunting.Android.BumpTech.GlideDiskLruCache,https://www.nuget.org/packages/Karamunting.Android.BumpTech.GlideDiskLruCache/4.9.0,https://github.com/bumptech/glide
