Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
441,0,411,14.2K,"Apr 25, 2008",5.57K,about 1 month ago,1.73 GB,17.2K,144,"1,322",https://github.com/SeleniumHQ/selenium/,selenium,https://github.com/SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium/
60,1,0,0,"Oct 16, 2018",4.18K,"Feb 25, 2019",108 MB,12.7K,5,"1,122",https://github.com/dianping/cat/tree/master/lib/python,cat-sdk,https://github.com/dianping/cat,https://github.com/dianping/cat/tree/master/lib/python
276,0,0,1,"Sep 12, 2018",4.8K,"Nov 20, 2019",597 MB,11.5K,2,836,https://github.com/deeplearning4j/deeplearning4j.git,pydatavec,https://github.com/deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j.git
14,0,0,0,"Dec 18, 2019",4.86K,"Dec 18, 2019",114 MB,7.8K,1,649,https://github.com/apache/zookeeper,oiozookeeper,https://pypi.org/project/oiozookeeper/3.5.6,https://github.com/apache/zookeeper
480,0,0,0,"Nov  1, 2019",1.75K,"Nov  1, 2019",140 MB,4.87K,10,130,https://github.com/OpenAPITools/openapi-generator,openapi-gen,https://pypi.org/project/openapi-gen/9.0.0,https://github.com/OpenAPITools/openapi-generator
480,0,0,0,"Nov  1, 2019",1.75K,"Nov  1, 2019",140 MB,4.87K,2,130,https://github.com/OpenAPITools/openapi-generator,testopenapi-gen,https://pypi.org/project/testopenapi-gen/4.0.2,https://github.com/OpenAPITools/openapi-generator
480,0,0,0,"Nov  1, 2019",1.75K,23 days ago,140 MB,4.87K,32,130,https://github.com/OpenAPITools/openapi-generator,openapigenerator,https://pypi.org/project/openapigenerator/4.3.0,https://github.com/OpenAPITools/openapi-generator
94,0,0,0,"Aug  9, 2017",612,"Aug 10, 2017",240 MB,3.45K,8,293,https://github.com/twitter/heron,devheronpy,https://pypi.org/project/devheronpy/0.0.8,https://github.com/twitter/heron
94,0,0,0,"Jun 15, 2017",612,"Jun 21, 2017",240 MB,3.45K,6,293,https://github.com/twitter/heron,pyheron,https://pypi.org/project/pyheron/0.0.0.dev2,https://github.com/twitter/heron
94,0,0,3,"Jun 28, 2017",612,"Apr  1, 2018",240 MB,3.45K,27,293,https://github.com/twitter/heron,heronpy,https://pypi.org/project/heronpy/0.17.8,https://github.com/twitter/heron
94,0,0,0,"Aug  9, 2017",612,"Aug  9, 2017",240 MB,3.45K,5,293,https://github.com/twitter/heron,sanjeevheronpy,https://pypi.org/project/sanjeevheronpy/0.0.5,https://github.com/twitter/heron
94,0,0,0,"Jun 27, 2017",612,"Jun 27, 2017",240 MB,3.45K,1,293,https://github.com/twitter/heron,heron-py,https://pypi.org/project/heron-py/0.0.0,https://github.com/twitter/heron
94,0,0,0,"Jun 19, 2017",612,"Jun 28, 2017",240 MB,3.45K,26,293,https://github.com/twitter/heron,pulsar-spout,https://pypi.org/project/pulsar-spout/0.0.23,https://github.com/twitter/heron
28,0,0,2,"Jun  5, 2018",532,"Jul  8, 2019",27.5 MB,3.34K,4,283,https://github.com/Microsoft/malmo,malmo,https://pypi.org/project/malmo/0.37.0.0,https://github.com/Microsoft/malmo
28,0,0,0,"Nov  6, 2018",532,"Sep  3, 2019",27.5 MB,3.34K,8,283,https://github.com/Microsoft/malmo,malmoenv,https://pypi.org/project/malmoenv/0.0.8,https://github.com/Microsoft/malmo
212,0,0,0,"Jun 19, 2018",1.48K,"Nov 23, 2018",382 MB,3.07K,12,271,https://github.com/apache/ignite/tree/master/modules/platforms/python,pyignite,https://github.com/apache/ignite,https://github.com/apache/ignite/tree/master/modules/platforms/python
43,0,0,0,"Jul 20, 2019",302,"Jul 20, 2019",4.18 MB,2.52K,3,151,https://github.com/google/open-location-code,openlocationcode,https://pypi.org/project/openlocationcode/1.0.1,https://github.com/google/open-location-code
75,0,0,6,"Jul 21, 2017",305,"Apr  5, 2019",113 MB,2.09K,46,128,http://beakerx.com,beakerx,https://pypi.org/project/beakerx/1.4.1,https://github.com/twosigma/beakerx
11,0,0,0,about 2 months ago,456,about 2 months ago,3.58 MB,2.05K,1,122,https://github.com/alibaba/Alink,pyalink,https://pypi.org/project/pyalink/1.1.0,https://github.com/alibaba/Alink
11,0,0,0,about 2 months ago,456,28 days ago,3.58 MB,2.05K,2,122,https://github.com/alibaba/Alink,pyalink-flink-1.9,https://pypi.org/project/pyalink-flink-1.9/1.1.0,https://github.com/alibaba/Alink
32,0,0,0,"Jul 22, 2018",1.84K,"Jul 22, 2018",13 MB,2.03K,1,296,https://github.com/mybatis/spring,knget-cs,https://pypi.org/project/knget-cs/1.0,https://github.com/mybatis/spring
37,0,2,2,"Jun 22, 2017",226,"Oct 12, 2018",78.6 MB,1.88K,14,106,https://github.com/graknlabs/grakn/tree/master/client-python,grakn,https://github.com/graknlabs/grakn,https://github.com/graknlabs/grakn/tree/master/client-python
97,2,1,3,"Nov 18, 2013",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons,twitter.common.net,https://pypi.org/project/twitter.common.net/0.3.11,https://github.com/twitter/commons
97,4,1,16,"Nov 18, 2013",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons,twitter.common.concurrent,https://pypi.org/project/twitter.common.concurrent/0.3.11,https://github.com/twitter/commons
97,6,0,29,"Oct 30, 2013",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons/tree/master/src/python/twitter/common/app,twitter.common.app,https://github.com/twitter/commons,https://github.com/twitter/commons/tree/master/src/python/twitter/common/app
97,0,0,23,"Nov 18, 2013",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons,twitter.common.http,https://pypi.org/project/twitter.common.http/0.3.11,https://github.com/twitter/commons
97,2,0,0,"Apr 19, 2014",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons,twitter.common.git,https://pypi.org/project/twitter.common.git/0.3.11,https://github.com/twitter/commons
97,1,0,0,"Apr 22, 2014",525,"Mar 28, 2019",110 MB,1.87K,10,260,https://github.com/twitter/commons,twitter.common.resourcepool,https://pypi.org/project/twitter.common.resourcepool/0.3.11,https://github.com/twitter/commons
97,0,1,16,"Nov 18, 2013",525,"Oct 17, 2016",110 MB,1.87K,12,260,https://github.com/twitter/commons,twitter.common.recordio,https://pypi.org/project/twitter.common.recordio/0.3.9,https://github.com/twitter/commons
97,3,2,27,"Oct 30, 2013",525,"Mar 28, 2019",110 MB,1.87K,14,260,https://github.com/twitter/commons,twitter.common.process,https://pypi.org/project/twitter.common.process/0.3.11,https://github.com/twitter/commons
97,2,0,0,"Apr 19, 2014",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons,twitter.common.git,https://pypi.org/project/twitter.common.git/0.3.11,https://github.com/twitter/commons
97,4,0,0,"Apr 22, 2014",525,"Mar 28, 2019",110 MB,1.87K,10,260,https://github.com/twitter/commons/tree/master/src/python/twitter/common/fs,twitter.common.fs,https://github.com/twitter/commons,https://github.com/twitter/commons/tree/master/src/python/twitter/common/fs
97,1,0,3,"Apr 19, 2014",525,"Mar 28, 2019",110 MB,1.87K,11,260,https://github.com/twitter/commons,twitter.common.jira,https://pypi.org/project/twitter.common.jira/0.3.11,https://github.com/twitter/commons
97,1,7,56,"Oct 30, 2013",525,"Mar 28, 2019",110 MB,1.87K,15,260,https://github.com/twitter/commons,twitter.common.dirutil,https://pypi.org/project/twitter.common.dirutil/0.3.11,https://github.com/twitter/commons
