Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
441,3,907,115K,"Nov 13, 2009",5.57K,about 1 month ago,1.73 GB,17.2K,186,"1,322",https://github.com/SeleniumHQ/selenium,selenium-webdriver,https://rubygems.org/gems/selenium-webdriver/versions/4.0.0.alpha5,https://github.com/SeleniumHQ/selenium
134,2,0,0,"Sep 24, 2013",2.36K,"Nov  5, 2013",54.6 MB,12.6K,15,717,https://github.com/twitter/zipkin,ruby-zipkin,https://rubygems.org/gems/ruby-zipkin/versions/0.2.909,https://github.com/twitter/zipkin
134,1,0,0,"Jun 12, 2012",2.36K,"Aug 10, 2012",54.6 MB,12.6K,4,717,https://github.com/twitter/zipkin,zipkin-query,https://rubygems.org/gems/zipkin-query/versions/0.1.0,https://github.com/twitter/zipkin
134,3,0,0,"Nov  5, 2013",2.36K,"Feb 14, 2014",54.6 MB,12.6K,9,717,https://github.com/twitter/zipkin,rubyzipkin,https://rubygems.org/gems/rubyzipkin/versions/0.4.6,https://github.com/twitter/zipkin
234,0,7,4,"May  8, 2012",1.7K,"Mar 12, 2015",15.7 MB,6.94K,5,412,https://dropwizard.github.io/metrics,metrics-core-jars,https://rubygems.org/gems/metrics-core-jars/versions/3.1.1,https://github.com/dropwizard/metrics
234,1,0,0,"Nov  4, 2014",1.7K,"Mar 17, 2015",15.7 MB,6.94K,2,412,https://dropwizard.github.io/metrics,metrics-graphite-jars,https://rubygems.org/gems/metrics-graphite-jars/versions/3.1.1,https://github.com/dropwizard/metrics
171,0,7.62K,440K,"Jul 25, 2009",766,19 days ago,13.4 MB,5.41K,121,146,https://nokogiri.org,nokogiri,https://rubygems.org/gems/nokogiri/versions/1.11.0.rc2,https://github.com/sparklemotion/nokogiri
27,0,0,1,"Sep  8, 2013",2.18K,"Sep 10, 2014",336 MB,5.3K,2,670,https://github.com/ansjsun/ansj_seg,ansj_seg-jruby,https://rubygems.org/gems/ansj_seg-jruby/versions/0.0.2,https://github.com/ansjsun/ansj_seg
27,2,0,0,"Nov 22, 2016",2.18K,"Nov 22, 2016",336 MB,5.3K,1,670,https://github.com/NLPchina/ansj_seg,ansj_seg,https://rubygems.org/gems/ansj_seg/versions/0.0.1,https://github.com/NLPchina/ansj_seg
78,2,1,1,"Sep 29, 2018",574,"Aug 15, 2019",30.3 MB,2.88K,5,232,https://github.com/cucumber/dots-formatter-ruby,cucumber-formatter-dots,https://github.com/cucumber/cucumber,https://github.com/cucumber/dots-formatter-ruby
