Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
48,7,"Oct  3, 2018",1.83K,18 days ago,24.5 MB,13.8K,21,354,https://github.com/didi/DoraemonKit,DoraemonKit,http://cocoapods.org/pods/DoraemonKit,https://github.com/didi/DoraemonKit
12,3,"Oct  9, 2017",1.45K,"Oct 22, 2018",15.5 MB,10.6K,9,377,https://github.com/Tencent/VasSonic,VasSonic,http://cocoapods.org/pods/VasSonic,https://github.com/Tencent/VasSonic
21,16,"Nov 23, 2017",555,"Nov 23, 2017",4.28 MB,5.22K,1,192,https://github.com/uber/RIBs,RIBs,http://cocoapods.org/pods/RIBs,https://github.com/uber/RIBs
17,0,"Oct  9, 2017",913,"Oct  9, 2017",10.6 MB,5.12K,1,180,https://www.jiguang.cn,Aurora-IMUI,http://cocoapods.org/pods/Aurora-IMUI,https://github.com/jpush/aurora-imui
17,0,"Oct  9, 2017",913,"Oct 22, 2018",10.6 MB,5.12K,11,180,https://www.jiguang.cn,AuroraIMUI,http://cocoapods.org/pods/AuroraIMUI,https://github.com/jpush/aurora-imui
5,1,"Sep 11, 2016",1K,"Sep 11, 2016",6.41 MB,4.14K,1,280,https://github.com/wequick/Small,Small,http://cocoapods.org/pods/Small,https://github.com/wequick/Small
150,209,"Jan 23, 2018",472,10 days ago,61.8 MB,3.82K,132,142,https://capacitor.ionicframework.com/,Capacitor,http://cocoapods.org/pods/Capacitor,https://github.com/ionic-team/capacitor
150,171,"Jan 23, 2018",472,10 days ago,61.8 MB,3.82K,140,142,https://ionic-team.github.io/capacitor,CapacitorCordova,http://cocoapods.org/pods/CapacitorCordova,https://github.com/ionic-team/capacitor
136,3,"Mar 24, 2015",991,"Mar 24, 2015",15.6 MB,1.48K,1,110,http://avro.apache.org/,Avro-C,http://cocoapods.org/pods/Avro-C,https://github.com/apache/avro
22,1,"Oct  9, 2017",82,"Dec 27, 2019",97.3 MB,372,20,73,https://github.com/microsoft/project-rome,ProjectRomeSdk,http://cocoapods.org/pods/ProjectRomeSdk,https://github.com/microsoft/project-rome
15,4,"Nov  7, 2015",81,"Nov 10, 2015",407 KB,290,4,12,https://github.com/auth0/react-native-lock-ios,LockReactNative,http://cocoapods.org/pods/LockReactNative,https://github.com/auth0/react-native-lock-ios
1,0,"May 28, 2016",53,"Oct 22, 2018",49.2 MB,291,44,43,https://github.com/gk-brown/HTTP-RPC,HTTPRPC,http://cocoapods.org/pods/HTTPRPC,https://github.com/gk-brown/HTTP-RPC
9,0,"Feb  5, 2018",21,"Feb 12, 2019",117 MB,97,12,29,http://www.openremote.io,ORLib,http://cocoapods.org/pods/ORLib,https://github.com/openremote/openremote
3,1,"Nov 28, 2015",22,"Jan 11, 2017",44.5 MB,76,6,12,https://github.com/drtimcooper/LatLongToTimezone,LatLongToTimezone,http://cocoapods.org/pods/LatLongToTimezone,https://github.com/drtimcooper/LatLongToTimezone
23,5,"Apr 20, 2015",111,about 1 month ago,33.4 MB,65,24,31,https://www.liferay.com/liferay-screens,LiferayScreens,http://cocoapods.org/pods/LiferayScreens,https://github.com/liferay/liferay-screens
23,0,"May 27, 2015",111,"May 27, 2015",33.4 MB,65,1,31,https://www.liferay.com/screens,LiferayScreensAddBookmarkScreenlet,http://cocoapods.org/pods/LiferayScreensAddBookmarkScreenlet,https://github.com/liferay/liferay-screens
3,0,"Sep 10, 2015",13,"Sep 10, 2015",391 KB,62,1,7,https://github.com/artemyarulin/react-native-eval,react-native-eval,http://cocoapods.org/pods/react-native-eval,https://github.com/artemyarulin/react-native-eval
8,0,"Jul  3, 2018",18,"Jul  3, 2018",6.38 MB,47,1,8,https://syr.js.org/,Syr,http://cocoapods.org/pods/Syr,https://github.com/syrjs/core
8,0,"Jul  3, 2018",18,"Oct 22, 2018",6.38 MB,47,4,8,https://syr.js.org/,syr.core,http://cocoapods.org/pods/syr.core,https://github.com/syrjs/core
5,0,"Mar 24, 2015",11,"Mar 24, 2015",22.1 MB,23,3,13,https://github.com/ludei/atomic-plugins-inapps,LDInAppService,http://cocoapods.org/pods/LDInAppService,https://github.com/ludei/atomic-plugins-inapps
5,0,"Mar 24, 2015",1,"Mar 24, 2015",1.01 MB,11,1,6,http://github.com/ribot/pig,Pig,http://cocoapods.org/pods/Pig,https://github.com/ribot/pig
1,1,"Nov  8, 2016",2,"Nov 19, 2019",511 KB,8,24,3,https://github.com/crescentflare/UniLayout,UniLayout,http://cocoapods.org/pods/UniLayout,https://github.com/crescentflare/UniLayout
1,0,"Oct  9, 2017",8,"Oct  9, 2017",15.6 KB,8,2,2,https://github.com/BaiduMobileAnalysis/cordova-ios-plugin,cordova-plugin-baidumobstat,http://cocoapods.org/pods/cordova-plugin-baidumobstat,https://github.com/BaiduMobileAnalysis/cordova-ios-plugin
2,0,"Jul 19, 2016",6,"Sep 22, 2016",21.7 MB,7,3,3,https://github.com/flutter/google_sign_in,FlutterGoogleSignIn,http://cocoapods.org/pods/FlutterGoogleSignIn,https://github.com/flutter/google_sign_in
1,0,"Mar 18, 2018",1,"Oct 22, 2018",1.47 MB,6,5,1,https://github.com/devyok/HybridMessenger,HybridMessenger,http://cocoapods.org/pods/HybridMessenger,https://github.com/devyok/HybridMessenger
1,1,"Aug  1, 2016",2,"Oct 22, 2018",318 KB,6,9,1,https://github.com/crescentflare/SimpleMarkdownParser,SimpleMarkdownParser,http://cocoapods.org/pods/SimpleMarkdownParser,https://github.com/crescentflare/SimpleMarkdownParser
2,0,"Jul 11, 2018",3,"Jul 11, 2018",30.8 MB,5,1,17,https://github.com,JPushWeexPlugin,http://cocoapods.org/pods/JPushWeexPlugin,https://github.com/jpush/jpush-weex-plugin
1,1,"Oct  3, 2018",2,"Oct  4, 2019",380 KB,5,6,3,https://github.com/crescentflare/DynamicAppConfig,DynamicAppConfig,http://cocoapods.org/pods/DynamicAppConfig,https://github.com/crescentflare/DynamicAppConfig
11,1,"Mar 24, 2015",10,"Mar 24, 2015",16.4 MB,4,3,3,https://code.google.com/p/j2objc/,jre_emul,http://cocoapods.org/pods/jre_emul,https://github.com/goodow/j2objc
1,1,"Jul 11, 2018",0,"Oct 22, 2018",1.11 MB,4,5,1,https://github.com/data-sky/WeexPluginMotion,WeexPluginMotion,http://cocoapods.org/pods/WeexPluginMotion,https://github.com/data-sky/WeexPluginMotion
11,2,"Mar 24, 2015",10,"Mar 24, 2015",16.4 MB,4,5,3,https://github.com/google/j2objc,J2ObjC,https://github.com/goodow/j2objc,https://github.com/google/j2objc
0,0,"Oct  9, 2017",0,"Oct  9, 2017",24.4 KB,3,2,1,http://natjs.com,NatGeolocation,http://cocoapods.org/pods/NatGeolocation,https://github.com/natjs/nat-geolocation
12,2,"Nov 17, 2015",19,"Nov 17, 2015",21 MB,3,1,15,http://www.aspose.com/cloud/word-api.aspx,AsposeWordsCloud,http://cocoapods.org/pods/AsposeWordsCloud,https://github.com/asposewords/Aspose_Words_Cloud
3,0,"Oct  9, 2017",1,"Oct 22, 2018",28.3 KB,3,2,1,http://natjs.com,NatTransfer,http://cocoapods.org/pods/NatTransfer,https://github.com/natjs/nat-network-transfer
1,0,"Apr  4, 2018",2,"Apr  4, 2018",15.1 MB,3,2,4,https://ionicframework.com/,IonicNativePushNotifications,http://cocoapods.org/pods/IonicNativePushNotifications,https://github.com/ionic-team/ionic-native-push-notifications
1,1,"Oct  9, 2017",0,"Oct  9, 2017",20.5 KB,2,1,1,http://natjs.com,NatModal,http://cocoapods.org/pods/NatModal,https://github.com/Natjs/nat-modal
0,0,"Dec 12, 2018",1,"Dec 12, 2018",160 KB,2,1,2,https://github.com/NoodleOfDeath/PastaParser,PastaParser,http://cocoapods.org/pods/PastaParser,https://github.com/NoodleOfDeath/PastaParser
1,0,"Oct  9, 2017",0,"Oct  9, 2017",250 KB,2,1,1,http://natjs.com,NatAlipay,http://cocoapods.org/pods/NatAlipay,https://github.com/natjs/nat-pay-alipay
3,0,"Oct  9, 2017",0,"Oct 22, 2018",12.7 KB,2,3,1,http://natjs.com,NatAccelerometer,http://cocoapods.org/pods/NatAccelerometer,https://github.com/natjs/nat-sensor-accelerometer
1,1,"Oct  3, 2018",1,"Jul 25, 2019",461 KB,2,13,1,https://github.com/crescentflare/BitletSynchronizer,BitletSynchronizer,http://cocoapods.org/pods/BitletSynchronizer,https://github.com/crescentflare/BitletSynchronizer
0,0,"Oct  9, 2017",1,"Oct  9, 2017",28.3 KB,2,2,1,http://natjs.com,NatVideo,http://cocoapods.org/pods/NatVideo,https://github.com/Natjs/nat-media-video
11,2,"Nov 23, 2015",8,"Nov 23, 2015",1.69 MB,2,1,9,http://www.aspose.com/cloud/barcode-api.aspx,AsposeBarCodeCloud,http://cocoapods.org/pods/AsposeBarCodeCloud,https://github.com/asposebarcode/Aspose_BarCode_Cloud
0,0,"Oct  9, 2017",0,"Oct  9, 2017",18.6 KB,2,3,1,http://natjs.com,NatAudio,http://cocoapods.org/pods/NatAudio,https://github.com/Natjs/nat-media-audio
3,0,"Oct  9, 2017",0,"Oct 22, 2018",18.6 KB,2,2,1,http://natjs.com,NatCommunication,http://cocoapods.org/pods/NatCommunication,https://github.com/natjs/nat-communication
0,0,"Oct  9, 2017",0,"Oct  9, 2017",17.6 KB,2,1,2,http://natjs.com,NatCamera,http://cocoapods.org/pods/NatCamera,https://github.com/Natjs/nat-camera
11,2,"Nov 25, 2015",11,"Nov 25, 2015",810 KB,2,1,9,http://www.aspose.com/cloud/ocr-api.aspx,AsposeOCRCloud,http://cocoapods.org/pods/AsposeOCRCloud,https://github.com/asposeocr/Aspose_OCR_Cloud
0,0,"Oct  9, 2017",0,"Oct  9, 2017",17.6 KB,2,2,1,http://natjs.com,NatRecorder,http://cocoapods.org/pods/NatRecorder,https://github.com/natjs/nat-recorder
0,0,"Oct  9, 2017",0,"Oct  9, 2017",14.6 KB,2,1,1,http://natjs.com,NatScreen,http://cocoapods.org/pods/NatScreen,https://github.com/Natjs/nat-device-screen
0,0,"Oct  9, 2017",1,"Oct  9, 2017",1.61 MB,2,9,5,https://github.com/youmi/nativead,nativead,http://cocoapods.org/pods/nativead,https://github.com/youmi/nativead
0,0,"Oct  9, 2017",0,"Oct  9, 2017",20.5 KB,2,1,1,http://natjs.com,NatStream,http://cocoapods.org/pods/NatStream,https://github.com/Natjs/nat-network-stream
1,0,"Nov 29, 2017",1,"Nov 29, 2017",44.7 MB,2,1,1,https://github.com/scholar-ink/weex-plugin-getui-push,GetuiPush,http://cocoapods.org/pods/GetuiPush,https://github.com/scholar-ink/weex-plugin-getui-push
0,0,"Jan 22, 2020",0,"Jan 22, 2020",23.3 MB,1,2,0,https://github.com/BinaryParadise/DoraemonKit,MCDoraemonKit,http://cocoapods.org/pods/MCDoraemonKit,https://github.com/BinaryParadise/DoraemonKit
1,1,"Sep  4, 2016",0,"Mar 27, 2019",969 KB,1,11,1,https://github.com/crescentflare/SmartMockServer,SmartMockLib,http://cocoapods.org/pods/SmartMockLib,https://github.com/crescentflare/SmartMockServer
9,2,"Dec  3, 2015",7,"Dec  3, 2015",3.61 MB,1,1,11,http://www.aspose.com/cloud/imaging-api.aspx,AsposeImagingCloud,http://cocoapods.org/pods/AsposeImagingCloud,https://github.com/asposeimaging/Aspose_Imaging_Cloud
11,2,"Dec  1, 2015",9,"Dec  1, 2015",4.49 MB,1,1,9,http://www.aspose.com/cloud/project-management-api.aspx,AsposeTasksCloud,http://cocoapods.org/pods/AsposeTasksCloud,https://github.com/asposetasks/Aspose_Tasks_Cloud
9,2,"Nov 30, 2015",7,"Nov 30, 2015",849 KB,1,1,9,http://www.aspose.com/cloud/email-api.aspx,AsposeEmailCloud,http://cocoapods.org/pods/AsposeEmailCloud,https://github.com/asposeemail/Aspose_Email_Cloud
0,0,"May 15, 2019",0,"May 15, 2019",40.3 MB,1,1,1,https://github.com/arthasAndDk/react-native-rtc,react-native-rtc,http://cocoapods.org/pods/react-native-rtc,https://github.com/arthasAndDk/react-native-rtc
27,0,"Mar 24, 2015",0,"Mar 24, 2015",11.5 MB,1,1,8,http://www.joda.org/joda-time/,Joda-Time,http://cocoapods.org/pods/Joda-Time,https://github.com/hambroperks/joda-time
0,0,"Mar 27, 2019",0,"Mar 27, 2019",4.23 MB,1,1,17,https://github.com/irontec/video-player-one.git,VideoPlayerOne,https://github.com/irontec/video-player-one,https://github.com/irontec/video-player-one.git
1,0,about 1 month ago,0,about 1 month ago,3.35 MB,1,4,1,https://github.com/shelby-yao/CommonPods,CommonPods,http://cocoapods.org/pods/CommonPods,https://github.com/shelby-yao/CommonPods
1,1,"Nov 16, 2016",1,"Mar 27, 2019",473 KB,1,12,2,https://github.com/crescentflare/ViewletCreator,ViewletCreator,http://cocoapods.org/pods/ViewletCreator,https://github.com/crescentflare/ViewletCreator
3,0,"Mar 24, 2015",0,"Mar 24, 2015",963 KB,1,1,16,http://www.joda.org/joda-convert/,Joda-Convert,http://cocoapods.org/pods/Joda-Convert,https://github.com/hambroperks/joda-convert
1,1,"Oct 22, 2018",1,"Oct 22, 2018",2.11 MB,1,1,2,https://github.com/jamalping/XP_PDFReader,XP_PDFReader,http://cocoapods.org/pods/XP_PDFReader,https://github.com/jamalping/XP_PDFReader
1,0,"Oct 30, 2017",0,"Oct 30, 2017",28.3 KB,1,2,1,http://natjs.com,NatWechat,http://cocoapods.org/pods/NatWechat,https://github.com/natjs/nat-wechat
1,0,5 days ago,0,5 days ago,356 KB,1,1,1,https://github.com/LiquidPlayer/caraml-core,caraml-core,http://cocoapods.org/pods/caraml-core,https://github.com/LiquidPlayer/caraml-core
0,0,"Oct  9, 2017",0,"Oct  9, 2017",17.6 KB,1,2,1,https://github.com/landrzejewski/Spark,Spark,http://cocoapods.org/pods/Spark,https://github.com/landrzejewski/Spark
1,0,5 days ago,0,5 days ago,416 KB,1,1,1,https://github.com/LiquidPlayer/caraml-console,caraml-console,http://cocoapods.org/pods/caraml-console,https://github.com/LiquidPlayer/caraml-console
0,0,"Nov 14, 2018",0,"Nov 14, 2018",195 MB,0,2,2,https://github.com/BrammanandSoni/,MyWeex,https://github.com/BrammanandSoni/incubator-weex,https://github.com/BrammanandSoni/
0,0,"Oct  3, 2018",0,"Oct  3, 2018",937 KB,0,1,1,https://github.com/henotia/cordova-hot-code-push,cordova-hot-code-push,http://cocoapods.org/pods/cordova-hot-code-push,https://github.com/henotia/cordova-hot-code-push
1,0,"Jun  5, 2019",0,"Jun  5, 2019",2.52 MB,0,1,5,https://github.com/DimensionDev/BouncyCastle-ObjC,BouncyCastle-ObjC,http://cocoapods.org/pods/BouncyCastle-ObjC,https://github.com/DimensionDev/BouncyCastle-ObjC
5,1,"Mar 24, 2015",0,"Mar 24, 2015",1.75 MB,0,1,1,https://github.com/tcoulter/jockeyjs,JockeyJS,https://github.com/minsikzzang/jockeyjs,https://github.com/tcoulter/jockeyjs
1,0,"May 26, 2016",0,"Jun  9, 2016",583 KB,0,18,1,https://github.com/kovacsi/bind_json_simple_1_1_1/,bind_json_simple_1_1_1,https://github.com/kovacsi/bind_json_simple_1_1_1,https://github.com/kovacsi/bind_json_simple_1_1_1/
11,0,"Sep 13, 2016",0,"Sep 13, 2016",9.96 MB,0,2,1,https://github.com/myeveryheart/infinitus-hot-code-push,InfinitusHotCodePush,http://cocoapods.org/pods/InfinitusHotCodePush,https://github.com/myeveryheart/infinitus-hot-code-push
0,0,"Oct  9, 2017",0,"Oct  9, 2017",365 MB,0,1,1,https://github.com/ocgungor/usergrid,UsergridSDK-ObjC,http://cocoapods.org/pods/UsergridSDK-ObjC,https://github.com/ocgungor/usergrid
0,0,"Oct  9, 2017",0,"Oct  9, 2017",2.6 MB,0,10,1,http://jiguang.cn,imui,http://cocoapods.org/pods/imui,https://github.com/huangminlinux/aurora-imui
3,1,"Mar 27, 2018",0,"Oct 22, 2018",2.82 MB,0,2,1,https://github.com/tralves/weex-kdp,WeexKdp,http://cocoapods.org/pods/WeexKdp,https://github.com/tralves/weex-kdp
0,0,"Jul 11, 2018",0,"Jul 11, 2018",1020 KB,0,1,0,https://github.com/X0FenDou/weex-custom-share-sdk.git,WeexCustomShareSdk,https://github.com/X0FenDou/weex-custom-share-sdk,https://github.com/X0FenDou/weex-custom-share-sdk.git
1,0,about 2 months ago,0,about 2 months ago,805 KB,0,3,0,https://github.com/BinaryParadise/MCFrontendService,MCFrontendKit,http://cocoapods.org/pods/MCFrontendKit,https://github.com/BinaryParadise/MCFrontendService
1,0,"May 26, 2016",0,"Jun  2, 2016",1.05 MB,0,9,1,https://github.com/kovacsi/bind_asm_all_5_1/,bind_asm_all_5_1,https://github.com/kovacsi/bind_asm_all_5_1,https://github.com/kovacsi/bind_asm_all_5_1/
1,0,"Apr 27, 2016",0,"May 19, 2016",41.7 MB,0,15,1,https://github.com/kovacsi/jartest/,jartest,https://github.com/kovacsi/jartest,https://github.com/kovacsi/jartest/
0,0,"Nov 14, 2018",0,"Nov 14, 2018",212 MB,0,1,1,https://github.com/alibaba/weex,MallWeexSDK,https://github.com/brahmapaytm/incubator-weex,https://github.com/alibaba/weex
18,0,"Mar 26, 2016",0,"Mar 30, 2016",32.1 MB,0,2,1,https://github.com/AJ9/j2objc,J2ObjC101,http://cocoapods.org/pods/J2ObjC101,https://github.com/AJ9/j2objc
